item_number,exam_type,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,option_e,option_f
197,Exam A,197,A company has a web application in the AWS Cloud and wants to collect transaction data in real time. The company wants to prevent data duplication and does not want to manage infrastructure. The company wants to perform additional processing on the data after the data is collected. Which solution will meet these requirements?,Configure an Amazon Simple Queue Service (Amazon SQS) FIFO queue. Configure an AWS Lambda function with an event source mapping for the FIFO queue to process the data.,Use Amazon Kinesis Data Streams to send the incoming transaction data to an AWS Batch job that removes duplicate data. Launch an Amazon EC2 instance that runs a custom script to process the data.,Configure an Amazon Simple Queue Service (Amazon SQS) FIFO queue. Use an AWS Batch job to remove duplicate data from the queue. Configure an AWS Lambda function to process the data.,Set up an AWS Step Functions state machine to send incoming transaction data to an AWS Lambda function to remove duplicate data. Launch an Amazon EC2 instance that runs a custom script to process the data.,A,,
198,Exam A,198,"A development team uses multiple AWS accounts for its development, staging, and production environments. Team members have been launching large Amazon EC2 instances that are underutilized. A solutions architect must prevent large instances from being launched in all accounts. How can the solutions architect meet this requirement with the LEAST operational overhead?",Update the IAM policies to deny the launch of large EC2 instances. Apply the policies to all. users. B.- Define a resource in AWS Resource Access Manager that prevents the launch of large EC2 instances.,,Create an IAM role in each account that denies the launch of large EC2 instances. Grant the developers IAM group access to the role.,"Create an organization in AWS Organizations in the management account with the default policy. Create a service control policy (SCP) that denies the launch of large EC2 instances, and apply it to the AWS accounts.",D,,
199,Exam A,199,A company has multiple Amazon RDS DB instances that run in a development AWS account. All the instances have tags to identify them as development resources. The company needs the development DB instances to run on a schedule only during business hours. Which solution will meet these requirements with the LEAST operational overhead?,Create an AWS Trusted Advisor report. to identify RDS. instances to be started and stopped. Create an AWS-Lambda function to start and stop the RDS instances.,Create AWS Systems Manager State Manager associations to start and stop the RDS instances.,Create an Amazon CloudWatch alarm to identify RDS instances that need to be stopped. Create an AWS Lambda function to start and stop the RDS instances.,Create an Amazon EventBridge rule that invokes AWS Lambda functions to start and stop the RDS instances.,D,,
200,Exam A,200,"A company runs an application on Amazon EC2 instances in a private subnet. The application needs to store and retrieve data in Amazon S3 buckets. According to regulatory requirements, the data must not travel across the public internet. What should a solutions architect do to meet these requirements MOST cost-effectively?",Deploy an S3. gateway endpoint to access the S3 buckets B.-Deploy. a NAT gateway to access the S3 buckets.,,Deploy AWS Storage Gateway to access the S3 buckets.,Deploy an’$3 interface endpoint to access the S3 buckets.,A,,
201,Exam A,201,A company is designing its production application's disaster recovery (DR) strategy. The application is backed by a MySQL database on an Amazon Aurora cluster in the us-east-1 Region. The company has chosen the us-west-1 Region as its DR Region. The company's target recovery point objective (RPO) is 5 minutes and the target recovery time objective (RTO) is 20 minutes. The company wants to minimize configuration changes. Which solution will meet these requirements with the MOST operational efficiency?,Convert the Aurora cluster to. an Aurora global database. Configure managed failover.,Create a new Aurora cluster in us-west-1. Use AWS Database Migration Service (AVVS DMS) to sync both clusters.,Create a new Aurora cluster in-us-west-1 that has Cross-Region Replication.,Create an Aurora read replica in us-west-1 similar in size to the production application's Aurora MySQL cluster writer instance.,A,,
202,Exam A,202,A company runs an ecommerce application on AWS. Amazon EC2 instances process purchases and store the purchase details in an Amazon Aurora PostgreSQL DB cluster. Customers are experiencing application timeouts during times of peak usage. A solutions architect needs to rearchitect the application so that the application can scale to meet peak usage demands. Which combination of actions will meet these requirements MOST cost- effectively? (Select TWO.),Configure an Auto.Scaling group of new EC2 instances to retry the purchases until the processing is complete. Update the applications to connect to the DB cluster by using Amazon RDS Proxy.,Configure. an Amazon API Gateway REST API with a usage plan.,Configure an AWS Lambda function to retry the ticket purchases until the processing is complete.,Configure the application to use an Amazon ElastiCache cluster in front of the Aurora PostgreSQL DB cluster.,"A,E",Update the application to send the purchase requests to an Amazon Simple Queue Service (Amazon SQS) queue. Configure an Auto Scaling group of new EC2. instances that read from the SQS queue.,
203,Exam A,203,A company runs its application on Oracle Database Enterprise Edition. The company needs to migrate the application and the database to AWS. The company can use the Bring Your Own License (BYOL) model while migrating to AWS. The application uses third-party database features that require privileged access. A solutions architect must design a solution for the database migration. Which solution will meet these requirements MOST cost- effectively?,Migrate the database to Amazon DynamoDB by using AWS Database Migration Service (AWS DMS). Customize the new database settings to support the third-party features.,Migrate the database to Amazon RDS for Oracle by using native tools. Replace the third-party features with AWS Lambda.,Migrate the database to Amazon RDS for PostgreSQL by using AWS Database Migration Service (AWS DMS). Rewrite the application code to remove the dependency on third-party features.,Migrate the database to Amazon RDS Custom for Oracle by using native tools. Customize the new database settings to support the third-party features.,D,,
204,Exam A,204,A company uses AWS to host a public website. The load on the webservers recently increased. The company wants to learn more about the traffic flow and traffic sources. The company also wants to increase the overall security of the website. Which solution will meet these requirements?,Deploy a Network Load Balancer and set up logging. Use Amazon Kinesis Data Firehose to deliver the log files to an Amazon S3 bucket for analysis.,Deploy an Application Load Balancer and set up logging. Use Amazon Kinesis Data Streams to deliver the log files to. an Amazon S3 bucket for analysis.,Deploy AWS WAF and set up logging. Use Amazon Kinesis Data Firehose to deliver the log files to an Amazon S3 bucket for analysis.,Deploy Amazon API! Gateway and set up logging. Use Amazon Kinesis Data Streams to deliver the log files to an Amazon S3 bucket for analysis.,C,,
205,Exam A,205,A company manages a data lake in an Amazon S3 bucket that numerous applications access. The S3 bucket contains a unique prefix for each application. The company wants to restrict each application to its specific prefix and to have granular control of the objects under each prefix. Which solution will meet these requirements with the LEAST operational overhead?,Replicate-the objects in the. S3 bucket to new S3. buckets for each application. Greate replication rules by prefix. B.Create an S3 Batch Operations job to set the ACL permissions for each object in the S3 bucket.,,Create dedicated S3 access points and access point policies for each application.,Replicate the objects in the S3 bucket to new S3 buckets for each application. Create dedicated S3 access points for each application.,C,,
206,Exam A,206,A company needs to design a hybrid network architecture. The company's workloads are currently stored in the AWS Cloud and in on-premises data centers. The workloads require single-digit latencies to communicate. The company uses an AWS Transit Gateway transit gateway to connect multiple VPCs. Which combination of steps will meet these requirements MOST cost-effectively? (Select TWO.),Establish-an AWS ’Site-to-Site VPN connection to each VPC.,Associate an AWS Direct Connect gateway with the transit gateway that is attached to the VPCs.,Associate AWS Site-to-Site VPN connections with the transit gateway that is attached to the VPCs.,Establish an AWS Direct Connect connection. Create a transit virtual interface (VIF) to a Direct Connect gateway.,"B,D",Establish an AWS site-to-Site VPN connection to an AWS Direct Connect gateway.,
207,Exam A,207,A company uses Salesforce. The company needs to load existing data and ongoing data changes from Salesforce to Amazon Redshift for analysis. The company does not want the data to travel over the public internet. Which solution will meet these requirements with the LEAST development effort?,Establish a VPN connection from the VPC to Salesforce. Use AWS Glue DataBrew to transfer data. “ B- Create an AWS PrivateLink connection in the VPC. to Salesforce. Use Amazon AppFlow to transfer data.,,Establish an AWS Direct Connect connection fromthe VPC to Salesforce. Use AWS Glue DataBrew to transfer data.,Create a VPC peering connection to Salesforce: Use Amazon AppFlow to transfer data.,B,,
208,Exam A,208,"A company needs to optimize its Amazon S3 storage costs for an application that generates many files that cannot be recreated. Each file is approximately 5 MB and is stored in Amazon S3 Standard storage. The company must store the files for 4 years before the files can be deleted. The files must be immediately accessible. The files are frequently accessed in the first 30 days of object creation, but they are rarely accessed after the first 30 days. Which solution will meet these requirements MOST cost-effectively?",Create an S3 Lifecycle policy to move the files to S3.Standard-Infrequent Access (S3 Standard-lA) 30 days after object creation. Move the files to $3 Glacier Flexible Retrieval 4 years after object creation.,Create an S3 Lifecycle policy to move the files to S3 Standard-Infrequent Access (S3 Standard-lA) 30 days after object creation. Delete the files 4 years after object creation.,Create an S3 Lifecycle policy to move the files to S3 One Zone-Infrequent Access (S3 One Zone-lA) 30 days after object creation. Delete the files 4 years after object creation.,Create an S3 Lifecycle policy to move the files to S3.-Glacier Instant Retrieval 30 days after object creation. Delete the files 4 years after object creation:,B,,
209,Exam A,209,A company has an application that runs on a single Amazon EC2 instance. The application uses a MYSQL database that runs on the same EC2 instance. The company needs a highly available and automatically scalable solution to handle increased traffic. Which solution will meet these requirements?,Deploy the application to EC2 instances that-run in an'Auto Scaling group behind an Application Load Balancer. Create an Amazon Redshift cluster that has multiple MySQL-compatible nodes.,Deploy the application to EC2 instances that are configured as a target group behind. an Application Load Balancer. Create an Amazon RDS for MySQL cluster that has multiple instances.,Deploy the application to EC2 instances that run in an Auto Scaling group behind an Application Load Balancer. Create an Amazon Aurora Serverless MySQL cluster for the database layer.,Deploy the application to EC2 instances that are configured as a target group behind an Application Load Balancer. Create an Amazon ElastiCache for Redis cluster that uses the MySQL connector.,C,,
210,Exam A,210,"A company has an application that processes information from documents that users upload. When a user uploads a new document to an Amazon S3 bucket, an AWS Lambda function is invoked. The Lambda function processes information from the documents. The company discovers that the application did not process many recently uploaded documents. The company wants to ensure that the application processes each document with retries if there is an error during the first attempt to process the document. Which solution will meet these requirements?",Configure an Amazon Simple Queue Service (Amazon SQS) queue as an event source for the Lambda function. Configure an S3 event notification on the S3 bucket to send new document upload events to the SQS queue.,Configure a replication policy on the S3. bucket to stage the documents in another S3 bucket that an AWS Batch job processes on a daily schedule.,Deploy an Application Load Balancer in front of the Lambda function that processes the documents:,Create an Amazon API Gateway REST API that has a proxy integration to the Lambda function. Update the application to send requests to the REST API.,A,,
211,Exam A,211,A company hosts an application on AWS that gives users the ability to download photos. The company stores all photos in an Amazon S3 bucket that is located in the us-east-1 Region. The company wants to provide the photo download application to global customers with low latency. Which solution will meet these requirements?,Create anew.S3 bucket in the us-west-1 Region. Configure an S3 Cross-Region Replication rule. to copy the photos to the new S3 bucket. B.-Find the public IP addresses that Amazon S3 uses in us-east-1.-Configure an Amazon Route 53 latency-based routing policy that routes to all the public IP addresses.,,Configure an Amazon Route 53 geoproximity routing policy to route the traffic to the S3 bucket that is closest to each customer's location.,Configure an Amazon CloudFront distribution in front of the S3 bucket. Use the distribution endpoint to access the photos that are in the S3 bucket.,D,,
212,Exam A,212,A company runs its production workload on Amazon EC2 instances with Amazon Elastic Block Store (Amazon EBS) volumes. A solutions architect needs to analyze the current EBS volume cost and to recommend optimizations. The recommendations need to include estimated monthly saving opportunities. Which solution will meet these requirements?,Use AWS Compute Optimizer to generate EBS volume recommendations for optimization. B.-Use Amazon CloudWatch metrics reporting to determine EBS volume recommendations for optimization.,,Use Amazon Inspector reporting to generate BS volume recommendations for optimization.,Use AWS Systems Manager reporting to determine EBS volume recommendations for optimization.,A,,
213,Exam A,213,A company runs its applications on Amazon EC2 instances that are backed by Amazon Elastic Block Store (Amazon EBS). The EC2 instances run the most recent Amazon Linux release. The applications are experiencing availability issues when the company's employees store and retrieve files that are 25 GB or larger. The company needs a solution that does not require the company to transfer files between EC2 instances. The files must be available across many EC2 instances and across multiple Availability Zones. Which solution will meet these requirements?,Migrate all the files to an Amazon S3 bucket. Instruct the employees to access the files from the S3 bucket.,Mount an Amazon Elastic File System (Amazon EFS) file system across all the EC2 instances. Instruct the employees to access the files from the EC2 instances.,Take a snapshot of the existing BS volume. Mount the snapshot as an EBS volume across the EC2 instances. Instruct the employees to access the files from the EC2 instances.,Create an Amazon Machine Image (AMI) from the EC2 instances. Configure new EC2 instances from the AMI that use an instance store volume. Instruct the employees to access the files from the EC2 instances.,B,,
214,Exam A,214,"A company is migrating five on-premises applications to VPCs in the AWS Cloud. Each application is currently deployed in isolated virtual networks on premises and should be deployed similarly in the AWS Cloud. The applications need to reach a shared services VPC. All the applications must be able to communicate with each other. If the migration is successful, the company will repeat the migration process for more than 100 applications. Which solution will meet these requirements with the LEAST administrative overhead?",Deploy VPC peering connections between the application VPCs and the shared services VPC. Add routes between the application VPGs in their subnets to the shared services VPC through the peering connection.,Deploy a transit gateway with associations between the transit gateway and the application VPCs and the shared services VPC. Add routes between the application VPCs in their subnets and the application VPCs to the shared services VPC through the transit gateway.,Deploy software VPN tunnels between the application VPCs and the shared services VPC. Add routes between the application PCs in their subnets to the shared services VPC.,Deploy an AWS Direct Connect connection between the application VPCs and the shared services VPC. Add routes from the application VPCs in their subnets to the shared services VPC and the applications VPCs. Add routes from the shared services VPC subnets to the applications VPCs.,B,,
215,Exam A,215,A company runs an application in the AWS Cloud that generates sensitive archival data files. The company wants to rearchitect the application's data storage. The company wants to encrypt the data files and to ensure that third parties do not have access to the data before the data is encrypted and sent to AWS. The company has already created an Amazon S3 bucket. Which solution will meet these requirements?,Configure the S3 bucket to use dual-layer server-side’encryption with AWS KMS keys (SSE-KMS). Configure the application to use the S3 bucket to store the archival files.,Configure the S3 bucket to use server-side encryption with AWS KMS keys (SSE-KMS). Configure the application to use the S3 bucket to store the archival files.,Configure the S3 bucket to use client-side encryption with an Amazon S3 managed encryption key. Configure the application to use the S3 bucket to store the archival files.,Configure the application to use client-side encryption with a key stored in AWS Key Management Service (AWS KMS). Configure the application to store the archival files in the S3 bucket.,D,,
216,Exam A,216,"A company serves its website by using an Auto Scaling group of Amazon EC2 instances in a single AWS Region. The website does not require a database. The company is expanding, and the company's engineering team deploys the website to a second Region. The company wants to distribute traffic across both Regions to accommodate growth and for disaster recovery purposes. The solution should not serve traffic from a Region in which the website is unhealthy. Which policy or resource should the company use to meet these requirements?",An Amazon Route 53 simple. routing policy,An Application Load Balancer in one Region with a target group that specifies the IP addresses of the EC2 instances from both Regions,An Amazon Route 53 multivalue answer routing policy,An Application Load Balancer in one Region with a target group that specifies the EC2 instance IDs from both Regions,C,,
217,Exam A,217,"A company has released a new version of its production application. The company's workload uses Amazon EC2, AWS Lambda, AWS Fargate, and Amazon SageMaker. The company wants to cost optimize the workload now that usage is at a steady state. The company wants to cover the most services with the fewest savings plans. Which combination of savings plans will meet these requirements? (Select TWO.)","Purchase-a Compute Savings Plan for Amazon EC2,' Lambda, and SageMaker: |-B.-Purchase a Compute Savings Plan for Lambda, Fargate, and Amazon EC2.",,Purchase an EC2 Instance Savings Plan for Amazon EC2 and SageMaker.,Purchase an EC2 Instance Savings Plan for Amazon EC2 and Fargate. |. Purchase a SageMaker Savings Plan.,"A,B",,
218,Exam A,218,An ecommerce company wants to collect user clickstream data from the company's website for real-time analysis. The website experiences fluctuating traffic patterns throughout the day. The company needs a scalable solution that can adapt to varying levels of traffic. Which solution will meet these requirements?,Use. Amazon Kinesis Data Firehose to-capture the clickstream data. Use AWS Glue to process the data in real time. B.-Use Amazon Managed Service for Apache Flink (previously known as Amazon Kinesis Data Analytics) to capture the clickstream data. Use AWS Lambda to process the data in real time.,,Use Amazon Kinesis Video Streams to capture the clickstream data. Use AWS Glue to process the data in real time.,Use a data stream in Amazon Kinesis Data Streams in on-demand mode to capture the clickstream data. Use AWS Lambda to process the data in real time.,D,,
219,Exam A,219,A company runs an ecommerce application on Amazon EC2 instances behind an Application Load Balancer. The instances run in an Amazon EC2 Auto Scaling group across multiple Availability Zones. The Auto Scaling group scales based on CPU utilization metrics. The ecommerce application stores the transaction data in a MySQL 8.0 database that is hosted on a large EC2 instance. The database's performance degrades quickly as application load increases. The application handles more read requests than write transactions. The company wants a solution that will automatically scale the database to meet the demand of unpredictable read workloads while maintaining high availability. Which solution will meet these requirements?,Use Amazon ElastiCache for Memcached with EC2 Spot Instances.,Use Amazon Aurora with a Multi-AZ deployment. Configure Aurora Auto Scaling with Aurora Replicas.,Use Amazon Redshift with a single node for leader and compute functionality.,Use Amazon RDS with a Single-AZ deployment. Configure Amazon RDS to add reader instances in a different Availability Zone.,B,,
220,Exam A,220,A company is preparing to launch a public-facing web application in the AWS Cloud. The architecture consists of Amazon EC2 instances within a VPC behind an Elastic Load Balancer (ELB). A third-party service is used for the DNS. The company's solutions architect must recommend a solution to detect and protect against large-scale DDoS attacks. Which solution meets these requirements?,Enable AWS Shield. and assign Amazon Route 53 to it. B_- Enable AWS Shield Advanced and assign the ELB to it.,,Enable Amazon Inspector on the EC2 instances.,Enable Amazon GuardDuty on the account.,B,,
221,Exam A,221,"A company is preparing to store confidential data in Amazon S3. For compliance reasons, the data must be encrypted at rest. Encryption key usage must be logged for auditing purposes. Keys must be rotated every year. Which solution meets these requirements and is the MOST operationally efficient?",Server-side encryption with customer-provided keys (SSE-C) B_- Server-side encryption with AWS KMS keys (SSE-KMS) with manual rotation,,Server-side encryption with AWS KMS keys (SSE-KMS) with automatic rotation,Server-side encryption with Amazon S3- managed keys (SSE-S3),C,,
222,Exam A,222,"A company wants to migrate its on-premises application to AWS. The application produces output files that vary in size from tens of gigabytes to hundreds of terabytes. The application data must be stored in a standard file system structure. The company wants a solution that scales automatically, is highly available, and requires minimum operational overhead. Which solution will meet these requirements?",Migrate the application to Amazon EC2. instances in a Multi-AZ Auto Scaling group. Use Amazon Elastic File System (Amazon EFS) for storage: B.-Migrate the application to run’as containers on Amazon Elastic Kubernetes Service (Amazon EKS)..Use Amazon Elastic Block Store (Amazon EBS) for storage.,,Migrate the application to run as containers on Amazon Elastic Container Service (Amazon ECS). Use Amazon S3 for storage.,"Migrate the application to Amazon EC2 instances in a Multi, AZ Auto Scaling group. Use Amazon Elastic Block Store(Amazon EBS) for storage.",A,,
223,Exam A,223,A solutions architect needs to ensure that API calls to Amazon DynamoDB from Amazon EC2 instances in a VPC do not travel across the internet. Which combination of steps should the solutions architect take to meet this requirement? (Select TWO.),Create a gateway endpoint for DynamoDB.,Create an interface endpoint for Amazon EC2.,Create an elastic network interface for the endpoint. in each of the subnets of the VPC-,Create a route table entry for the endpoint.,"A,D",Create a security group entry in the endpoint's security group to provide access.,
224,Exam A,224,A solutions architect needs to give an application that is deployed on AWS access to an Amazon $3 bucket. The data must be encrypted in transit and accessible to only authorized entities. Which bucket policy will enforce these security requirements?,"Xe Wy a! ca 4, reno 2h aoe wv 4 xO <” CSVexBion! se201284 + SNA co No-4 Seven = S18 “ OS er > N oo SY y A Vn ke. rin ¥, ro . OX6* @Principal”: aS. J 3 pO *Ettect®: ""Deny"", Mahe > ot” “Action”: ""s3: “aa ) ~ chs ""Re ce”: [C).O)- £ yO “i @ htag ws: 951 gs Dochaat a Gober"", ote NC Swain aws: 9323 : DOC-EXAMPLE-BOCKET/*"" tt Sk AGL oy I Aa oC cy _O2.. “ondition®: (7 O2. : ~ Re epeaite «SRO AE R Se Syed 3 - a a rumen y°~ saleiets rel | a Hy BIKA 8S yn & Ho 20 ES * O 22 as *' ( OGRS NOLOKERS * ie S Beye FO © we BAe.) * ry - \ « . ” c \ais > svegstonts *2012f40-27"", ne YS",,,,,,
225,Exam A,225,A company stores data in an on-premises Oracle relational database. The company needs to make the data available in Amazon Aurora PostgreSQL for analysis. The company uses an AWS Site-to-Site VPN connection to connect its on-premises network to AWS. The company must capture the changes that occur to the source database during the migration to Aurora PostgreSQL. Which solution will meet these requirements?,Usethe AWS.Schema Conversion Tool (AVWWS SCT) to. convert the Oracle schema to Aurora PostgreSQL schema. Use the AWS Database Migration Service (AWS DMS) full-load migration task to migrate the data:,Use an AWS Snowball device to migrate the data to an Amazon S3 bucket. Import the S3 data to Aurora PostgreSQL by using the Aurora PostgreSQL aws_s3 extension.,Use the AWS Schema Conversion Tool (AWS SCT) to convert the Oracle schema to Aurora PostgreSQL schema. Use AWS Database Migration Service (AWS DMS) to migrate the existing data and replicate the ongoing changes.,Use AWS DataSync to migrate the data to an Amazon S3 bucket. Import the S3 data to Aurora PostgreSQL by using the Aurora PostgreSQL aws_s3 extension.,C,,
226,Exam A,226,A company needs to store data in Amazon S3 and must prevent the data from being modified. The company wants new objects that are uploaded to Amazon S3 to remain unchangeable until the company decides to modify the objects. Only specific users in the company's AWS account can have the ability to delete the objects. Which solution will meet these requirements?,Create an S3 bucket with S3. Object Lock enabled. Enable versioning. Add a legal hold to the objects. Add the s3:PutObjectLegalHold permission to the IAM policies. of users who need to delete the objects.,"Create an S3-bucket. Use AWS CloudTrail to track any S3 API events that modify the objects. Upon notification, restore the modified objects from any of the company's backup versions.",Create an S3 bucket with S3 Object Lock enabled. Enable versioning. Set a retention period of 100 years. Use compliance mode as the S3 bucket’s default retention mode for new objects.,Create an S3 Glacier vault. Apply a write-once read-many (VWWORM) control to an S3 Glacier Vault Lock policy. Apply the Vault Lock policy to the objects.,A,,
227,Exam A,227,A company has an Amazon S3 bucket that contains sensitive data files. The company has an application that runs on virtual machines in anon- premises data center. The company currently uses AWS IAM Identity Center. The application requires temporary access to files in the S3 bucket. The company wants to grant the application secure access to the files in the S3 bucket. Which solution will meet these requirements?,Use 1AM Roles Anywhere to obtain security. credentials in IAM Identity Center that grant access to the S3 bucket. Configure the virtual machines to assume the role by using the AWS CLI,Create an IAM user and policy that grants access to the bucket. Store the access key and secret key for the IAM user in AWS Secrets Manager. Configure the application to retrieve the access key and secret key at startup.,Install the AWS CLI on the virtual machine. Configure the AWS CLI with access keys from an IAM user that has access to the bucket.,Create an S3 bucket policy that permits access to the bucket from the public IP address range of the company's on-premises data center.,A,,
228,Exam A,228,A company has an application that uses Docker containers in its local data center. The application runs on a container host that stores persistent data in a volume on the host. The container instances use the stored persistent data. The company wants to move the application to a fully managed service because the company does not want to manage any servers or storage infrastructure. Which solution will meet these requirements?,Use Amazon Elastic Kubernetes Service (Amazon EKS) with self-managed nodes. Create an Amazon Elastic Block Store (Amazon EBS) volume attached to an Amazon EC2 instance. Use the EBS volume as a persistent volume mounted in the containers.,Use Amazon Elastic Container Service (Amazon ECS) with an Amazon EC2 launch type. Create an Amazon Elastic File System (Amazon EFS) volume. Add the EFS volume as a persistent storage volume mounted in the containers.,Use Amazon Elastic Container Service (Amazon ECS) with an AWS Fargate launch type. Create an Amazon S3 bucket. Map the S3 bucket as a persistent storage volume mounted in the containers.,Use Amazon Elastic Container Service (Amazon ECS) with an AWS Fargete launch type. Create an Amazon Elastic File System (Amazon EFS) volume. Add the EFS volume as a persistent storage volume mounted in the containers.,D,,
229,Exam A,229,A software company needs to upgrade a critical web application. The application currently runs on a single Amazon EC2 instance that the company hosts in a public subnet. The EC2 instance runs a MySQL database. The application's DNS records are published in an Amazon Route 53 zone. A solutions architect must reconfigure the application to be scalable and highly available. The solutions architect must also reduce MySQL read latency. Which combination of solutions will meet these requirements? (Select TWO.),Migrate the database to an Amazon Aurora MySQL cluster with cross-Region read replicas.,Launch a second EC2 instance in a second AWS Region. Use a Route 53 failover routing policy to redirect the traffic to the second EC2 instance.,Migrate the database to an Amazon Aurora MySQL cluster. Create the primary DB instance and reader B instance in separate Availability Zones.,Create and configure an Auto-Scaling group to launch private EC2 instances in multiple AWS Regions. Add the instances to a target group behind a new Application Load Balancer.,"C,E",Create and configure an Auto Scaling group to launch private EC2 instances in multiple Availability Zones. Add the instances to a target group behind a new Application Load Balancer.,
230,Exam A,230,A company is planning to deploy a managed MySQL database solution for its non-production applications. The company plans to run the system for several years on AWS. Which solution will meet these requirements MOST cost-effectively?,Create an Amazon EC2 instance. Manually install and configure MySQL Server on the instance.,Create an Amazon RDS for MySQL instance: Purchase a Reserved Instance:,Create an Amazon Aurora MySQL cluster with writer and reader nodes. Use the cluster on an on-demand basis,Create an Amazon RDS for MySQL instance. Use the instance on an on-demand basis.,B,,
231,Exam A,231,A company runs an on-premises application on a Kubernetes cluster. The company recently added millions of new customers. The company's existing on-premises infrastructure is unable to handle the large number of new customers. The company needs to migrate the on-premises application to the AWS Cloud. The company will migrate to an Amazon Elastic Kubernetes Service (Amazon EKS) cluster. The company does not want to manage the underlying compute infrastructure for the new architecture on AWS. Which solution will meet these requirements with the LEAST operational overhead?,Use managed node groups to supply compute capacity. Deploy. the application to the new EKS cluster.,Use AWS Fargate to supply compute capacity. Create a Fargate profile. Use the Fargate profile to deploy the application.,Use managed node groups with Karpenter to supply compute capacity. Deploy the application to the new EKS cluster.,Use a self-managed node to supply compute capacity. Deploy the application to the new EKS cluster.,B,,
232,Exam A,232,"A company operates a food delivery service. Because of recent growth, the company's order processing system is experiencing scaling problems — during peak traffic hours The current architecture includes Amazon EC2 instances in an Auto Scaling group that collect orders from an application. A second group of EC2 instances in an Auto Scaling group fulfills the orders. The order collection process occurs quickly, but the order fulfillment process can take longer. Data must not be lost because of a scaling event. A solutions architect must ensure that the order collection process and the order fulfillment process can both scale adequately during peak traffic hours. Which solution will meet these requirements?",Provision two Amazon Simple Queue Service (Amazon SQS) queues. Use one SQS queue for order collection. Use the second SQS queue for order fulfillment. Configure the EC2 instances to poll their respective queues. Scale the Auto Scaling groups based on the number of messages in each queue.,Use Amazon CloudWatch to monitor the CPUUtilization metric for each instance in both Auto Scaling groups. Configure each Auto Scaling group's minimum capacity to meet its peak workload value.,Provision two Amazon Simple Queue Service (Amazon SQS) queues. Use one SQS queue for order collection. Use the second SQS queue for order fulfillment. Configure the EC2 instances to poll their respective queues. Scale the Auto Scaling groups based on notifications that the queues send.,Use Amazon CloudWatch to monitor the CPUUtilization metric for each instance in both Auto Scaling groups. Configure a CloudWatch alarm to invoke an Amazon Simple Notification Service (Amazon SNS) topic to create additional Auto Scaling groups on demand.,A,,
233,Exam A,233,A company hosts an ecommerce application on AWS by using Amazon EC2 instances. The EC2 instances are spread across three Availability Zones behind an Application Load Balancer (ALB). The EC2 instances are in an Auto Scaling group. Some application users report that the application occasionally directs users who have already authenticated to the login page. The users must log in again. The company needs a solution that will prevent the application from redirecting authenticated users to the login page. Which solution will meet this requirement?,Configure the ALB to direct user activities to just one-EC2 instance that is registered as-a target in the target group.,Apply session affinity with application-based stickiness at the target group level.,Manually terminate the EC2 instances. Wait for the Auto Scaling group to launch new EC2 instances automatically.,Configure the ALB to direct user activities to the appropriate EC2 instance through the IPv4 IP address of the instance that is registered as a target in the target.,B,,
234,Exam A,234,A company must consume data that is written as JSON objects to an Amazon S3 bucket. The data is written in batches every 5 minutes and can range up to 100 MB per hour. The data needs to be extracted and written to an existing Amazon Aurora database cluster. The company has a Python application that reads the JSON objects and converts the data to load into the database cluster. The application runs every hour and often takes more than 30 minutes to run. The company needs a highly available solution. Which solution will meet these requirements?,Use an AWS CloudFormation template to launch an Amazon EC2 On-Demand Instance: Use the CloudFormation template UserData property to install the Python application that is needed to read the JSON files. Create a crontab entry to launch the application every hour.,"Use an AWS CloudFormation template to launch an Amazon EMR cluster with a 3-year, All Upfront: Reserved Instance. Use the CloudFormation template UserData property to install the Python application. Invoke the application every hour by using an Amazon EventBridge scheduled event.",Set up the Python application as an AWS Lambda function. Set up an Amazon EventBridge scheduled event that runs every hour to invoke the Lambda function.,"Set up an Amazon,EventBridge scheduled event that runs every hour to invoke an AWS Step Functions state machine. Configure the Python application as an Amazon EMR Serverless job. Configure the Step Functions state machine to run the task to invoke the Amazon EMR Serverless job.",C,,
235,Exam A,235,A solutions architect needs to connect a company's corporate network to its VPC to allow on-premises access to its AWS resources. The solution must provide encryption of all traffic between the corporate network and the VPC at the network layer and the session layer. The solution also must provide security controls to prevent unrestricted access between AWS and the on-premises systems. Which solution meets these requirements?,Create an IAM policy to allow access to. the AWS Management Console only from a. defined set of corporate IP addresses. Restrict user access based. on job responsibility by using an IAM policy and roles.,Configure AWS Transit Gateway to connect to the VPC. Configure route table entries to direct traffic from on premises to the VPC. Configure instance security groups and network ACLs to allow only required traffic from on premises.,Configure AWS Site-to-Site VPN to connect to the VPC. Configure route table entries to direct traffic from on premises to the VPC. Configure instance security groups and network ACLs to allow only required traffic from on premises.,Configure AWS Direct Connect to connect to the VPC. Configure the VPC route tables to allow and deny traffic between AWS and on premises as required.,C,,
